Date,Account value
10/19/2020,"12,009.99"
10/20/2020,"12,044.90"
10/21/2020,"11,988.59"
10/22/2020,"11,996.57"
10/23/2020,"12,081.49"
10/26/2020,"11,847.74"
10/27/2020,"11,884.07"
10/28/2020,"11,336.17"
10/29/2020,"11,528.70"
10/30/2020,"11,242.25"
11/2/2020,"11,287.76"
11/3/2020,"12,338.78"
11/4/2020,"12,929.64"
11/5/2020,"13,284.88"
11/6/2020,"13,334.19"
11/9/2020,"13,096.41"
11/10/2020,"12,823.34"
11/11/2020,"13,112.35"
11/12/2020,"13,039.44"
11/13/2020,"13,152.58"
11/16/2020,"13,297.12"
11/17/2020,"13,223.19"
11/18/2020,"13,060.66"
11/19/2020,"13,192.34"
11/20/2020,"13,077.61"
11/23/2020,"13,081.87"
11/24/2020,"13,264.05"
11/25/2020,"13,334.62"
11/26/2020,"13,334.62"
11/27/2020,"13,430.90"
11/30/2020,"13,498.85"
12/1/2020,"13,659.47"
12/2/2020,"13,666.06"
12/3/2020,"13,652.78"
12/4/2020,"13,755.82"
12/7/2020,"13,785.60"
12/8/2020,"13,820.29"
12/9/2020,"13,514.75"
12/10/2020,"13,555.02"
12/11/2020,"13,566.69"
12/14/2020,"13,650.73"
12/15/2020,"13,853.84"
12/16/2020,"13,954.59"
12/17/2020,"14,059.45"
12/18/2020,"13,991.27"
12/21/2020,"14,935.40"
12/22/2020,"14,985.86"
12/23/2020,"14,866.14"
12/24/2020,"14,946.00"
12/25/2020,"14,946.00"
12/28/2020,"15,120.95"
12/29/2020,"15,085.39"
12/30/2020,"15,078.32"
12/31/2020,"15,122.01"
1/1/2021,"15,122.01"
1/4/2021,"14,864.39"
1/5/2021,"14,989.84"
1/6/2021,"14,732.81"
1/7/2021,"15,192.86"
1/8/2021,"15,396.17"
1/11/2021,"15,171.48"
1/12/2021,"15,111.06"
1/13/2021,"15,168.94"
1/14/2021,"14,995.88"
1/15/2021,"14,853.60"
1/18/2021,"14,853.60"
1/19/2021,"15,092.16"
1/20/2021,"15,526.92"
1/21/2021,"15,686.77"
1/22/2021,"15,683.85"
1/25/2021,"15,860.84"
1/26/2021,"16,890.15"
1/27/2021,"16,627.45"
1/28/2021,"16,523.63"
1/29/2021,"16,133.94"
2/1/2021,"16,601.24"
2/2/2021,"16,873.07"
2/3/2021,"16,829.43"
2/4/2021,"17,027.05"
2/5/2021,"17,099.03"
2/8/2021,"17,250.42"
2/9/2021,"17,246.55"
2/10/2021,"17,209.57"
2/11/2021,"17,302.24"
2/12/2021,"17,445.39"
2/15/2021,"17,445.39"
2/16/2021,"17,355.67"
2/17/2021,"17,256.08"
2/18/2021,"17,157.58"
2/19/2021,"17,039.42"
2/22/2021,"16,403.16"
2/23/2021,"16,332.08"
2/24/2021,"16,530.04"
2/25/2021,"16,744.41"
2/26/2021,"16,843.76"
3/1/2021,"17,440.40"
3/2/2021,"17,091.90"
3/3/2021,"16,468.93"
3/4/2021,"16,104.47"
3/5/2021,"16,388.60"
3/8/2021,"15,855.59"
3/9/2021,"16,588.87"
3/10/2021,"16,545.76"
3/11/2021,"17,043.97"
3/12/2021,"16,908.38"
3/15/2021,"18,137.77"
3/16/2021,"18,250.33"
3/17/2021,"18,301.37"
3/18/2021,"17,635.87"
3/19/2021,"17,727.75"
3/22/2021,"18,086.27"
3/23/2021,"18,002.40"
3/24/2021,"17,670.90"
3/25/2021,"17,664.83"
3/26/2021,"18,017.49"
3/29/2021,"18,025.97"
3/30/2021,"17,872.31"
3/31/2021,"18,212.22"
4/1/2021,"18,624.18"
4/2/2021,"18,624.18"
4/5/2021,"19,097.76"
4/6/2021,"19,056.22"
4/7/2021,"19,159.80"
4/8/2021,"19,423.63"
4/9/2021,"19,605.01"
4/12/2021,"19,565.07"
4/13/2021,"19,852.92"
4/14/2021,"19,570.38"
4/15/2021,"20,007.83"
4/16/2021,"20,034.16"
4/19/2021,"19,829.55"
4/20/2021,"19,664.81"
4/21/2021,"19,882.30"
4/22/2021,"19,576.79"
4/23/2021,"19,925.58"
4/26/2021,"20,077.59"
4/27/2021,"20,006.45"
4/28/2021,"19,875.64"
4/29/2021,"19,942.21"
4/30/2021,"19,750.95"
5/3/2021,"19,648.26"
5/4/2021,"19,282.98"
5/5/2021,"19,202.09"
5/6/2021,"19,398.46"
5/7/2021,"19,603.45"
5/10/2021,"19,065.98"
5/11/2021,"19,009.71"
5/12/2021,"18,426.07"
5/13/2021,"18,601.78"
5/14/2021,"19,043.04"
5/17/2021,"18,928.42"
5/18/2021,"18,766.04"
5/19/2021,"18,786.40"
5/20/2021,"19,175.72"
5/21/2021,"19,070.31"
5/24/2021,"19,421.39"
5/25/2021,"19,475.13"
5/26/2021,"19,531.33"
5/27/2021,"19,474.51"
5/28/2021,"19,554.13"
5/31/2021,"19,554.13"
6/1/2021,"19,504.54"
6/2/2021,"19,662.70"
6/3/2021,"19,447.80"
6/4/2021,"19,802.85"
6/7/2021,"19,867.36"
6/8/2021,"19,863.75"
6/9/2021,"19,842.28"
6/10/2021,"20,063.33"
6/11/2021,"20,137.75"
6/14/2021,"21,360.75"
6/15/2021,"21,223.20"
6/16/2021,"21,124.51"
6/17/2021,"21,503.44"
6/18/2021,"21,329.33"
6/21/2021,"21,459.20"
6/22/2021,"21,727.76"
6/23/2021,"21,745.67"
6/24/2021,"21,898.16"
6/25/2021,"21,885.02"
6/28/2021,"22,199.89"
6/29/2021,"22,334.39"
6/30/2021,"22,365.35"
7/1/2021,"22,411.84"
7/2/2021,"22,746.53"
7/5/2021,"22,746.53"
7/6/2021,"22,845.46"
7/7/2021,"22,865.44"
7/8/2021,"22,692.05"
7/9/2021,"22,862.62"
7/12/2021,"22,937.02"
7/13/2021,"22,927.47"
7/14/2021,"22,955.44"
7/15/2021,"22,750.27"
7/16/2021,"22,529.27"
7/19/2021,"22,313.10"
7/20/2021,"22,623.56"
7/21/2021,"23,852.27"
7/22/2021,"24,089.79"
7/23/2021,"24,436.38"
7/26/2021,"24,458.54"
7/27/2021,"24,187.86"
7/28/2021,"24,343.50"
7/29/2021,"24,480.39"
7/30/2021,"24,379.28"
8/2/2021,"24,401.37"
8/3/2021,"24,641.97"
8/4/2021,"25,755.85"
8/5/2021,"25,866.94"
8/6/2021,"25,733.80"
8/9/2021,"25,698.06"
8/10/2021,"25,548.87"
8/11/2021,"25,543.44"
8/12/2021,"25,684.88"
8/13/2021,"25,859.16"
8/16/2021,"25,898.11"
8/17/2021,"25,640.74"
8/18/2021,"25,271.87"
8/19/2021,"25,476.60"
8/20/2021,"25,839.68"
8/23/2021,"26,257.30"
8/24/2021,"26,274.48"
8/25/2021,"26,294.66"
8/26/2021,"26,108.40"
8/27/2021,"26,423.31"
8/30/2021,"26,772.27"
8/31/2021,"26,706.11"
9/1/2021,"26,746.53"
9/2/2021,"26,743.22"
9/3/2021,"26,842.08"
9/6/2021,"26,842.08"
9/7/2021,"27,841.57"
9/8/2021,"27,718.33"
9/9/2021,"27,559.89"
9/10/2021,"27,311.51"
9/13/2021,"27,276.18"
9/14/2021,"27,239.27"
